source,source_record_id,ein,organization_name,dba_name,street,city,state,zip,county,latitude,longitude,ntee_code,ntee_definition,status_code,status_definition,last_seen_vintage,tax_period,revenue_amount,asset_amount,income_amount,size,size_basis,active_flag,source_url
IRS/NCCS BMF,02-0627242,02-0627242,Project Food,,3866 WESTWOOD DR,RIVERSIDE,CA,92504-2722,Riverside County,33.9449571526344,-117.406952301575,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,02-0648013,02-0648013,Sharing The Harvest,Brown Carla J,PO BOX 1191,EMPIRE,CA,95319-1191,Stanislaus County,37.63782,-120.9017205,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,02-0780572,02-0780572,The Food Pantry,The Pantry,500 DE HARO ST,SAN FRANCISCO,CA,94107-2306,San Francisco County,37.7633571340528,-122.401464740377,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202508,47618,250580,47618,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,04-3718164,04-3718164,Village Harvest,,PO BOX 9231,SAN JOSE,CA,95157-0231,Santa Clara County,37.300932,-121.977999,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202503,142373,96692,142373,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,13-4203945,13-4203945,Orland Pantry,,PO BOX 14,ORLAND,CA,95963-0014,Glenn County,39.749823,-122.190498,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202505,103524,124996,103524,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,14-1892212,14-1892212,Faith Of The Living God,,,HEMET,CA,92545,,,,K31,"Food Banks, Pantries",,,2022-01,201812,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,14-1951877,14-1951877,Bread Plus Bread,,,MORENO VALLEY,CA,92557,,,,K31,"Food Banks, Pantries",,,2010-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-0891922,20-0891922,The Vacaville Storehouse,,PO BOX 2790,VACAVILLE,CA,95696-2790,Solano County,38.354346,-121.9812885,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,8142499,137754,8142499,Medium,IRS revenue $5M–<$25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-1051472,20-1051472,Good Samaritans Of The East Bay,,4859 EL GRANDE PL,EL SOBRANTE,CA,94803-3265,Contra Costa County,37.9619814646257,-122.294663130446,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-02,202112,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-1109199,20-1109199,Touch Ones United Creating Hope,,4602 S ESTRELLA PRIVADO,ONTARIO,CA,91761-2726,San Bernardino County,33.990075,-117.559467,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,94482,23310,94482,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-3506759,20-3506759,Action Food Pantry,,,COVINA,CA,91722,,,,K31,"Food Banks, Pantries",,,2020-04,,,,,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4130066,20-4130066,Nancys Project,,PO BOX 1,MONTEREY,CA,93942-0001,Monterey County,36.595809,-121.895289,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,839101,211225,839101,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4313513,20-4313513,Hope Food Bank,,,HEMET,CA,92545,,,,K31,"Food Banks, Pantries",,,2016-08,201412,66475,0,66475,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4315642,20-4315642,Rio Vista Ministry,,1105 AIRPORT RD STE A,RIO VISTA,CA,94571-1267,Solano County,38.1731157606906,-121.686628228749,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,1767512,378744,1767512,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4326023,20-4326023,Helping You Family Services,,1135 S TRURO AVE,INGLEWOOD,CA,90301-3734,Los Angeles County,33.9477644912574,-118.358084732471,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4374795,20-4374795,Jacobs & Cushman San Diego Food Bank,,9850 DISTRIBUTION AVE,SAN DIEGO,CA,92121-2320,San Diego County,32.8866296933462,-117.163227701454,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,110962770,124335465,142012634,Large,IRS revenue >= $25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-4761508,20-4761508,Celebration Love Your Neighbor,,,SANTA ROSA,CA,95405,,,,K31,"Food Banks, Pantries",,,2020-04,201712,21565,0,0,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,20-5514127,20-5514127,Peggy Beatrice Foundation,,5225 BLAKESLEE AVE APT 260,N HOLLYWOOD,CA,91601-3244,Los Angeles County,34.1654607973917,-118.372504049743,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202212,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,22-3889729,22-3889729,Wawona Food Pantry Of Clovis Foundation,,,CLOVIS,CA,93619,,,,K31,"Food Banks, Pantries",,,2010-01,200712,0,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,22-3947998,22-3947998,World Harvest Food Bank,,,LOS ANGELES,CA,90015,,,,K31,"Food Banks, Pantries",,,2010-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,23-7111782,23-7111782,Yolo Food Bank,,233 HARTER AVE,WOODLAND,CA,95776-5917,Yolo County,38.688624,-121.760720543656,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,20552491,18968458,20606744,Medium,IRS revenue $5M–<$25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,23-7404919,23-7404919,Emergency Food Project Of The City Of Long Beach California,,,LONG BEACH,CA,90810,,,,K31,"Food Banks, Pantries",,,1989-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-0138603,26-0138603,Second Chances Bread Of Life,,PO BOX 7724,SAN DIEGO,CA,92167-0724,San Diego County,32.745888,-117.2475,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-08,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-0877633,26-0877633,People United For A Better Life Inoakland,,,OAKLAND,CA,94601,,,,K31,"Food Banks, Pantries",,,2016-08,201412,551946,230363,551946,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-1094875,26-1094875,Three Rivers Bread Basket,,PO BOX 44,THREE RIVERS,CA,93271-0044,Tulare County,36.44208,-118.885779,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-2583335,26-2583335,Haitian American Food Bank,,,LONG BEACH,CA,90813,,,,K31,"Food Banks, Pantries",,,2011-12,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-2937067,26-2937067,United Vision Foundation,,5050 SEPULVEDA BLVD APT 330,SHERMAN OAKS,CA,91403-1525,Los Angeles County,34.162596,-118.46618096679,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-3131854,26-3131854,Way Of Compassion Community,Wocc,,STOCKTON,CA,95207,,,,K31,"Food Banks, Pantries",,,2018-12,201612,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-3489348,26-3489348,Miracle Meals Foundation,,29138 PACFIC COAST HWY STE 784,MALIBU,CA,90265-3916,Los Angeles County,34.0221291043339,-118.808421019563,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-3499668,26-3499668,Food 4 All,,,BEVERLY HILLS,CA,90210,,,,K31,"Food Banks, Pantries",,,2014-06,201012,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-3774751,26-3774751,Food Center Of North County,,1144 OLIVE AVE,VISTA,CA,92083-4737,San Diego County,33.2047154826304,-117.2655405,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-3878420,26-3878420,Ufcw Local 1428 Giving Back Food Pantry,,705 W ARROW HWY,CLAREMONT,CA,91711-4812,Los Angeles County,34.0905095814818,-117.725699294477,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,2100,19660,2100,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-4498035,26-4498035,Basic Needs Foundation,,,CARSON,CA,90745,,,,K31,"Food Banks, Pantries",,,2022-08,202112,81767,11205,56526,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,26-4569809,26-4569809,So Others May Eat,,9222 CHESAPEAKE DR,SAN DIEGO,CA,92123-1026,San Diego County,32.8380530577642,-117.129955983467,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,17537,88506,17537,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0133051,27-0133051,Humanitarian International Foundation,Hifi,6162 ANNAN WAY,LOS ANGELES,CA,90042-1344,Los Angeles County,34.1296131906631,-118.185778665561,K31,"Food Banks, Pantries",1,Unconditional Exemption,2023-08,201912,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0188921,27-0188921,Fulfilled Life,,PO BOX 4621,CARLSBAD,CA,92018-4621,San Diego County,33.162921,-117.349038,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0314902,27-0314902,Operation Manna,,,OAKLAND,CA,94610,,,,K31,"Food Banks, Pantries",,,2013-02,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0622783,27-0622783,Soup Kitchen Serves,,12642 MOORPARK ST UNIT 3,STUDIO CITY,CA,91604-1314,Los Angeles County,34.1503415015006,-118.40891590161,K31,"Food Banks, Pantries",1,Unconditional Exemption,2023-10,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0767593,27-0767593,Hope Source,,,GREENWOOD,CA,95635,,,,K31,"Food Banks, Pantries",,,2022-01,201812,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0896091,27-0896091,Eating Well Foundation,,,BURBANK,CA,91504,,,,K31,"Food Banks, Pantries",,,2013-02,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0925218,27-0925218,Ar-Razzaq Food Bank,,PO BOX 601503,SACRAMENTO,CA,95860-1503,Sacramento County,38.610603,-121.381029,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,154778,45749,154778,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-0944215,27-0944215,Trinity Fresh Food For Life,,,ELK GROVE,CA,95624,,,,K31,"Food Banks, Pantries",,,2013-07,200912,0,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-1157236,27-1157236,American Food Supplies,American Food Bank,,PIONEERTOWN,CA,92268,,,,K31,"Food Banks, Pantries",,,2015-07,201112,134900,9400,135550,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-1337911,27-1337911,Food For Life Ministry,,4712 CHEYENNE WAY,CHINO,CA,91710-5531,San Bernardino County,34.0031355481849,-117.701832824312,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,303987,696753,320010,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-1386968,27-1386968,Simchat Shabbat,,52 SUNLIGHT,IRVINE,CA,92603-3724,Orange County,33.6344651678979,-117.799886731173,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,114847,81394,114847,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2451575,27-2451575,Youth Assistance Coalition,,2801 B ST,SAN DIEGO,CA,92102-2208,San Diego County,32.7179145345376,-117.1336005,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,850738,1032900,850738,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2571060,27-2571060,Giving Others Dinner,,,SAN FERNANDO,CA,91340,,,,K31,"Food Banks, Pantries",,,2015-07,201112,3100,0,3100,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2635728,27-2635728,Watts Powerhouse Food,,PO BOX 1466,JAMESTOWN,CA,95327-1466,Tuolumne County,37.936044,-120.431682,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2678918,27-2678918,Bridge Of Hope Sd,,3142 IDLEWILD WAY,SAN DIEGO,CA,92117-2533,San Diego County,32.8304988115586,-117.218277273097,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,1121358,116253,1121358,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3103072,27-3103072,Searchig Kindness,,,W HOLLYWOOD,CA,90046,,,,K31,"Food Banks, Pantries",,,2014-06,201012,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3168074,27-3168074,Caritas San Vicente,,9364 ELM AVE,FONTANA,CA,92335-5393,San Bernardino County,34.083666,-117.466828002106,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-08,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3410736,27-3410736,Latino Food Center,,1910 STARVALE RD,GLENDALE,CA,91207-1050,Los Angeles County,34.1735974993075,-118.249398593514,K31,"Food Banks, Pantries",1,Unconditional Exemption,2023-08,201912,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3466777,27-3466777,East Bay Food Justice Project,,3124 SHATTUCK AVE,BERKELEY,CA,94705-1823,Alameda County,37.8525946486237,-122.266203876652,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,166889,65736,166889,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3472218,27-3472218,Mesa Harmony Garden,,,SANTA BARBARA,CA,93160,,,,K31,"Food Banks, Pantries",,,2019-08,201606,1350,866,879,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3561353,27-3561353,Reflections Of Grace Outreach Ministries,,12303 ARENISCA VERDE DR,MORENO VALLEY,CA,92557-7514,Riverside County,33.9419023791332,-117.21877712104,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-08,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3678051,27-3678051,Good Neighbor Center,,1874 CHURCH AVE,SANGER,CA,93657-2373,Fresno County,36.7140001942985,-119.562541407438,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202508,0,9870,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4538658,27-4538658,Trinity Community Ministries,,,SAN DIEGO,CA,92114,,,,K31,"Food Banks, Pantries",,,2014-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4551416,27-4551416,Cyprian Open Arms,,,CARSON,CA,90746,,,,K31,"Food Banks, Pantries",,,2016-08,201412,55900,18192,55900,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-5374971,27-5374971,Hear The Hungry,,2990 E CALIFORNIA BLVD,PASADENA,CA,91107-5347,Los Angeles County,34.1357779619426,-118.088773433666,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0124348,30-0124348,Kid-Food,,,SAN DIEGO,CA,92117,,,,K31,"Food Banks, Pantries",,,2010-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0138523,30-0138523,Hope For San Fernando Valley Community,,,VAN NUYS,CA,91411,,,,K31,"Food Banks, Pantries",,,2010-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0244011,30-0244011,The Way Ministries,,9277 KARERLLYN DR,SANTEE,CA,92071-4711,San Diego County,32.8490219254042,-116.952463450247,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-08,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0482826,30-0482826,Food For Christ,,20444 CORONA ST,CORONA,CA,92881-4513,Riverside County,33.8249945076174,-117.5264775,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0521906,30-0521906,River Life Foundation,,PO BOX 384,FORTUNA,CA,95540-0384,Humboldt County,40.584546,-124.143111,K31,"Food Banks, Pantries",1,Unconditional Exemption,2025-02,202112,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0554038,30-0554038,San Lorenzo Family Help Center,,20960 CORSAIR BLVD,HAYWARD,CA,94545-1002,Alameda County,37.6566510455592,-122.124998666052,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,2098861,138181,2099981,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0622554,30-0622554,Brown Bag Delivery Service,,1654 E ALTADENA DR,ALTADENA,CA,91001-1850,Los Angeles County,34.1906485431073,-118.116639,K31,"Food Banks, Pantries",1,Unconditional Exemption,2024-08,202012,0,0,0,Unknown,No positive IRS revenue reported,Likely,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0647311,30-0647311,Extended Family,,,WOODLAND HLS,CA,91367,,,,K31,"Food Banks, Pantries",,,2019-08,201812,54886,2572,24436,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
