ID,Food Item,Category,Storage Type,Dietary Notes
34,"Mango, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
35,"Mango, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
36,"Mango, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
37,"Pineapple, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
38,"Pineapple, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
39,"Pineapple, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
40,"Pineapple, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
41,"Papaya, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
42,"Papaya, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
43,"Papaya, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
44,"Papaya, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
45,"Kiwi, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
46,"Kiwi, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
47,"Kiwi, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
48,"Kiwi, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
49,"Grapefruit, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
50,"Grapefruit, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
51,"Grapefruit, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
52,"Grapefruit, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
53,"Lemon, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
54,"Lemon, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
55,"Lemon, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
56,"Lemon, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
57,"Lime, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
58,"Lime, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
59,"Lime, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
60,"Lime, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
61,"Tangerine, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
62,"Tangerine, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
63,"Tangerine, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
64,"Tangerine, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
65,"Clementine, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
66,"Clementine, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
67,"Clementine, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
68,"Clementine, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
69,"Mandarin, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
70,"Mandarin, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
71,"Mandarin, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
72,"Mandarin, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
73,"Watermelon, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
74,"Watermelon, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
75,"Watermelon, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
76,"Watermelon, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
77,"Cantaloupe, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
78,"Cantaloupe, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
79,"Cantaloupe, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
80,"Cantaloupe, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
81,"Honeydew melon, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
82,"Honeydew melon, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
83,"Honeydew melon, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
84,"Honeydew melon, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
85,"Strawberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
86,"Strawberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
87,"Strawberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
88,"Strawberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
89,"Blueberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
90,"Blueberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
91,"Blueberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
92,"Blueberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
93,"Raspberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
94,"Raspberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
95,"Raspberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
96,"Raspberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
97,"Blackberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
98,"Blackberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
99,"Blackberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
100,"Blackberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
101,"Cranberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
102,"Cranberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
103,"Cranberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
104,"Cranberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
105,"Cherry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
106,"Cherry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
107,"Cherry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
108,"Cherry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
109,"Grape, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
110,"Grape, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
111,"Grape, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
112,"Grape, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
113,"Pomegranate, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
114,"Pomegranate, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
115,"Pomegranate, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
116,"Pomegranate, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
117,"Persimmon, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
118,"Persimmon, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
119,"Persimmon, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
120,"Persimmon, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
121,"Fig, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
122,"Fig, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
123,"Fig, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
124,"Fig, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
125,"Date, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
126,"Date, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
127,"Date, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
128,"Date, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
129,"Guava, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
130,"Guava, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
131,"Guava, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
132,"Guava, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
133,"Passion fruit, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
134,"Passion fruit, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
135,"Passion fruit, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
136,"Passion fruit, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
137,"Dragon fruit, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
138,"Dragon fruit, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
139,"Dragon fruit, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
140,"Dragon fruit, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
141,"Star fruit, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
142,"Star fruit, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
143,"Star fruit, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
144,"Star fruit, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
145,"Lychee, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
146,"Lychee, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
147,"Lychee, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
148,"Lychee, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
149,"Rambutan, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
150,"Rambutan, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
151,"Rambutan, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
152,"Rambutan, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
153,"Coconut, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
154,"Coconut, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
155,"Coconut, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
156,"Coconut, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
157,"Avocado, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
158,"Avocado, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
159,"Avocado, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
160,"Avocado, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
161,"Plantain, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
162,"Plantain, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
163,"Plantain, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
164,"Plantain, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
165,"Quince, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
166,"Quince, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
167,"Quince, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
168,"Quince, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
169,"Mulberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
170,"Mulberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
171,"Mulberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
172,"Mulberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
173,"Gooseberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
174,"Gooseberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
175,"Gooseberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
176,"Gooseberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
177,"Currant, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
178,"Currant, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
179,"Currant, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
180,"Currant, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
181,"Boysenberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
182,"Boysenberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
183,"Boysenberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
184,"Boysenberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
185,"Elderberry, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
186,"Elderberry, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
187,"Elderberry, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
188,"Elderberry, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
189,"Jackfruit, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
190,"Jackfruit, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
191,"Jackfruit, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
192,"Jackfruit, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
193,"Durian, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
194,"Durian, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
195,"Durian, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
196,"Durian, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
197,"Soursop, fresh whole",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
198,"Soursop, fresh sliced",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
199,"Soursop, fresh seasonal pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
200,"Soursop, fresh family pack",Fresh Fruit,Fresh,Vegetarian; naturally gluten-free
201,"Russet potato, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
202,"Russet potato, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
203,"Russet potato, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
204,"Red potato, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
205,"Red potato, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
206,"Red potato, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
207,"Yukon gold potato, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
208,"Yukon gold potato, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
209,"Yukon gold potato, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
210,"Sweet potato, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
211,"Sweet potato, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
212,"Sweet potato, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
213,"Yellow onion, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
214,"Yellow onion, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
215,"Yellow onion, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
216,"Red onion, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
217,"Red onion, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
218,"Red onion, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
219,"White onion, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
220,"White onion, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
221,"White onion, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
222,"Green onion, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
223,"Green onion, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
224,"Green onion, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
225,"Garlic, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
226,"Garlic, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
227,"Garlic, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
228,"Carrot, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
229,"Carrot, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
230,"Carrot, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
231,"Baby carrot, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
232,"Baby carrot, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
233,"Baby carrot, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
234,"Celery, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
235,"Celery, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
236,"Celery, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
237,"Cabbage, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
238,"Cabbage, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
239,"Cabbage, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
240,"Red cabbage, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
241,"Red cabbage, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
242,"Red cabbage, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
243,"Napa cabbage, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
244,"Napa cabbage, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
245,"Napa cabbage, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
246,"Lettuce, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
247,"Lettuce, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
248,"Lettuce, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
249,"Romaine lettuce, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
250,"Romaine lettuce, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
251,"Romaine lettuce, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
252,"Iceberg lettuce, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
253,"Iceberg lettuce, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
254,"Iceberg lettuce, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
255,"Spinach, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
256,"Spinach, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
257,"Spinach, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
258,"Kale, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
259,"Kale, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
260,"Kale, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
261,"Collard greens, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
262,"Collard greens, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
263,"Collard greens, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
264,"Swiss chard, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
265,"Swiss chard, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
266,"Swiss chard, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
267,"Mustard greens, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
268,"Mustard greens, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
269,"Mustard greens, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
270,"Arugula, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
271,"Arugula, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
272,"Arugula, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
273,"Broccoli, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
274,"Broccoli, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
275,"Broccoli, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
276,"Cauliflower, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
277,"Cauliflower, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
278,"Cauliflower, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
279,"Brussels sprouts, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
280,"Brussels sprouts, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
281,"Brussels sprouts, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
282,"Zucchini, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
283,"Zucchini, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
284,"Zucchini, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
285,"Yellow squash, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
286,"Yellow squash, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
287,"Yellow squash, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
288,"Butternut squash, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
289,"Butternut squash, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
290,"Butternut squash, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
291,"Acorn squash, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
292,"Acorn squash, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
293,"Acorn squash, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
294,"Spaghetti squash, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
295,"Spaghetti squash, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
296,"Spaghetti squash, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
297,"Pumpkin, fresh whole",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
298,"Pumpkin, fresh trimmed",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
299,"Pumpkin, fresh produce bag",Fresh Vegetables,Fresh,Vegetarian; naturally gluten-free
